ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name
TsogoB31,TsogoB31,,-1.55469,11.1359,tsog1243,,,Tsogo
TsongaS53,TsongaS53,,-23.5754,31.8105,tson1249,,,Tsonga
TswanaS31,TswanaS31,,-24.368,24.7587,tswa1253,,,Tswana
TumbukaN212,TumbukaN212,,-11.3297,33.3738,tumb1250,,,Tumbuka
UmbunduR111,UmbunduR111,,-12.4763,14.4148,umbu1257,,,Umbundu
VendaS21,VendaS21,,-22.188,29.9523,vend1245,,,Venda
XhosaS41,XhosaS41,,-31.0389,28.0769,xhos1239,,,Xhosa
YakaH314,YakaH314,,-5.984,16.775,yaka1269,,,Yaka-Pelende-Lonzo
YakaKasongoH312,YakaKasongoH312,,-5.984,16.775,yaka1269,,,Yaka-Pelende-Lonzo
YaoP212,YaoP212,,-13.6119,35.2387,yaoo1241,,,Yao
YombeH12b1,YombeH12b1,,-5.1263,12.9657,yomb1244,,,Yombe
ZigulaG31,ZigulaG31,,-5.61864,38.41138,zigu1244,,,Zigula-Mushungulu
ZinzaJ23,ZinzaJ23,,-2.64132,32.1755,zinz1238,,,Zinza
ZuluS42,ZuluS42,,-28.9,30.2,zulu1248,,,Zulu
